source_file,relative_path,n_chars,n_chars_no_spaces,n_words,n_sentences,n_paragraphs,n_lines,file_size_bytes
1.docx,1.docx,9558,8372,1179,59,17,17,21877
10.docx,10.docx,22606,20091,2530,141,146,171,36293
11.docx,11.docx,44894,39113,5755,314,56,56,37084
12.docx,12.docx,19730,17359,2385,116,13,14,28105
13.docx,13.docx,16471,14444,2031,112,24,24,26958
14.docx,14.docx,42839,37723,5104,277,85,85,36949
15.docx,15.docx,21281,18680,2573,143,29,29,31691
16.docx,16.docx,23340,20459,2847,124,23,23,29552
17.docx,17.docx,38605,34006,4589,298,95,95,33751
18.docx,18.docx,18000,15702,2293,109,17,17,27138
19.docx,19.docx,41626,36432,5139,364,109,109,35823
2.docx,2.docx,13512,11771,1709,101,22,22,24511
20.docx,20.docx,27712,24407,3271,187,58,58,32389
21.docx,21.docx,56540,49567,6898,400,89,89,44276
22.docx,22.docx,12500,11046,1462,83,23,23,23206
23.docx,23.docx,32209,28189,4012,200,49,49,32008
24.docx,24.docx,15699,13588,2074,95,15,15,27668
25.docx,25.docx,36448,32083,4354,274,107,107,33019
26.docx,26.docx,28403,25054,3319,193,38,38,32860
27.docx,27.docx,13851,12180,1666,93,21,21,24087
28.docx,28.docx,31551,27713,3798,191,51,51,33698
29.docx,29.docx,19202,16948,2241,130,42,42,28082
3.docx,3.docx,25328,22339,2954,153,38,38,29900
30.docx,30.docx,17898,15543,2347,141,30,30,27757
31.docx,31.docx,28544,25019,3529,159,38,38,31825
32.docx,32.docx,17510,15477,2021,108,17,17,26434
33.docx,33.docx,24578,21607,2989,155,35,35,30207
34.docx,34.docx,19549,17236,2303,109,16,16,26675
35.docx,35.docx,38345,33603,4714,240,50,50,41343
36.docx,36.docx,27483,23870,3566,242,47,47,34717
37.docx,37.docx,20335,17906,2411,122,25,25,30431
38.docx,38.docx,18970,16450,2481,136,29,29,26708
39.docx,39.docx,17164,15066,2087,110,22,22,26184
4.docx,4.docx,16212,14234,1969,94,18,18,26310
40.docx,40.docx,44848,39435,5442,281,64,64,38045
41.docx,41.docx,33452,29272,4181,224,53,53,32618
42.docx,42.docx,29730,26161,3539,211,47,47,29139
43.docx,43.docx,27722,24266,3421,210,38,38,27987
44.docx,44.docx,40502,35423,5048,329,61,61,36237
45.docx,45.docx,32522,28747,3791,234,65,65,31535
46.docx,46.docx,32808,28818,3969,238,69,69,32232
5.docx,5.docx,17133,15111,1999,109,23,23,25443
6.docx,6.docx,11660,10251,1389,82,31,31,23439
7.docx,7.docx,17767,15685,2066,109,40,40,26500
8.docx,8.docx,16267,14245,2009,117,26,26,26048
9.docx,9.docx,19842,17355,2477,128,28,28,24215
