source_file,relative_path,suffix,file_size_bytes
1.docx,1.docx,.docx,25718
10.docx,10.docx,.docx,35474
11.docx,11.docx,.docx,52091
12.docx,12.docx,.docx,43146
13.docx,13.docx,.docx,14880
14.docx,14.docx,.docx,34786
15.docx,15.docx,.docx,38359
16.docx,16.docx,.docx,50566
17.docx,17.docx,.docx,8159
18.docx,18.docx,.docx,48292
19.docx,19.docx,.docx,17177
2.docx,2.docx,.docx,44499
21.docx,21.docx,.docx,37468
22.docx,22.docx,.docx,47606
23.docx,23.docx,.docx,46262
24.docx,24.docx,.docx,35262
25.docx,25.docx,.docx,31932
26.docx,26.docx,.docx,28486
27.docx,27.docx,.docx,40146
28.docx,28.docx,.docx,16764
29.docx,29.docx,.docx,10651
3.docx,3.docx,.docx,43898
30.docx,30.docx,.docx,38395
31.docx,31.docx,.docx,44923
32.docx,32.docx,.docx,43422
33.docx,33.docx,.docx,18564
34.docx,34.docx,.docx,46190
35.docx,35.docx,.docx,33987
36.docx,36.docx,.docx,37380
37.docx,37.docx,.docx,41348
38.docx,38.docx,.docx,45623
39.docx,39.docx,.docx,26474
4.docx,4.docx,.docx,72882
40.docx,40.docx,.docx,47921
41.docx,41.docx,.docx,49792
42.docx,42.docx,.docx,29805
43.docx,43.docx,.docx,47764
44.docx,44.docx,.docx,38785
45.docx,45.docx,.docx,35467
46.docx,46.docx,.docx,37602
5.docx,5.docx,.docx,41213
6.docx,6.docx,.docx,19347
7.docx,7.docx,.docx,31619
8.docx,8.docx,.docx,30458
9.docx,9.docx,.docx,25490
