source_file,relative_path,n_chars,n_chars_no_spaces,n_words,n_sentences,n_paragraphs,n_lines,file_size_bytes
1.docx,1.docx,16507,14096,2396,198,23,23,25718
10.docx,10.docx,15003,13012,1991,89,37,37,35474
11.docx,11.docx,36759,32473,4328,175,159,159,52091
12.docx,12.docx,32420,28663,3753,158,35,35,43146
13.docx,13.docx,10892,9477,1411,54,11,11,14880
14.docx,14.docx,32697,28531,4106,152,102,102,34786
15.docx,15.docx,37737,32992,4745,185,66,66,38359
16.docx,16.docx,27692,24136,3488,185,75,75,50566
17.docx,17.docx,16387,14420,1951,99,43,43,8159
18.docx,18.docx,21858,18854,2968,88,51,51,48292
19.docx,19.docx,10321,9043,1262,59,19,19,17177
2.docx,2.docx,12827,11107,1700,84,15,15,44499
21.docx,21.docx,16089,14008,2034,84,28,28,37468
22.docx,22.docx,21853,19237,2622,133,31,31,47606
23.docx,23.docx,19620,17093,2453,122,53,53,46262
24.docx,24.docx,14242,12358,1899,57,14,14,35262
25.docx,25.docx,8074,7091,959,50,35,35,31932
26.docx,26.docx,18701,16547,2119,111,65,65,28486
27.docx,27.docx,5731,5126,610,42,9,9,40146
28.docx,28.docx,5899,5141,756,52,7,7,16764
29.docx,29.docx,14421,12625,1793,72,41,41,10651
3.docx,3.docx,13209,11591,1630,96,23,23,43898
30.docx,30.docx,17442,15053,2363,160,32,32,38395
31.docx,31.docx,35519,31075,4454,178,87,87,44923
32.docx,32.docx,30272,26530,3730,136,48,48,43422
33.docx,33.docx,19097,16822,2258,81,43,43,18564
34.docx,34.docx,33867,29497,4329,182,35,35,46190
35.docx,35.docx,12461,10975,1490,63,23,23,33987
36.docx,36.docx,16894,14686,2189,88,23,23,37380
37.docx,37.docx,23095,20190,2875,116,28,28,41348
38.docx,38.docx,17440,15077,2317,139,38,38,45623
39.docx,39.docx,17458,15305,2137,121,35,35,26474
4.docx,4.docx,77807,67603,10173,549,18,18,72882
40.docx,40.docx,23988,21166,2797,113,45,45,47921
41.docx,41.docx,27129,23884,3242,138,21,21,49792
42.docx,42.docx,37854,33326,4543,218,55,55,29805
43.docx,43.docx,24546,21747,2880,111,21,21,47764
44.docx,44.docx,20025,17694,2354,89,52,52,38785
45.docx,45.docx,13714,12057,1640,60,24,24,35467
46.docx,46.docx,19649,17242,2419,85,36,36,37602
5.docx,5.docx,26760,23344,3404,171,19,19,41213
6.docx,6.docx,5868,5158,707,26,6,6,19347
7.docx,7.docx,9450,8432,1029,41,17,24,31619
8.docx,8.docx,5041,4301,738,65,25,25,30458
9.docx,9.docx,15288,13252,2013,89,30,30,25490
