path,file,label,predicted,correct,margin,delta_to_real,delta_to_generated
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/1.docx,1.docx,real,real,True,0.055690542689348255,0.7433716031366632,0.7990621458260114
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/10.docx,10.docx,real,real,True,0.08784412846084177,0.7208371460369588,0.8086812744978006
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/11.docx,11.docx,real,real,True,0.054900621710866404,0.5501297418494119,0.6050303635602783
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/12.docx,12.docx,real,real,True,0.10414366869017466,0.6794496135459349,0.7835932822361096
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/13.docx,13.docx,real,real,True,0.10038836131936746,0.9407599636918524,1.04114832501122
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/14.docx,14.docx,real,real,True,0.09524996798310659,0.539891219012827,0.6351411869959336
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/15.docx,15.docx,real,real,True,0.07859324313666494,0.5510909053129086,0.6296841484495735
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/16.docx,16.docx,real,real,True,0.09912465494711664,0.5659547899265434,0.66507944487366
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/17.docx,17.docx,real,real,True,0.09170497931277988,0.9795547010709601,1.07125968038374
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/18.docx,18.docx,real,real,True,0.048982961111367795,0.8021998593863117,0.8511828204976795
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/19.docx,19.docx,real,real,True,0.046478137944656384,0.866684469129664,0.9131626070743204
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/2.docx,2.docx,real,real,True,0.09419289172555412,0.6377932797422204,0.7319861714677746
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/21.docx,21.docx,real,real,True,0.05395682988574202,0.6822024317685303,0.7361592616542724
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/22.docx,22.docx,real,real,True,0.13188569878861978,0.534068840750262,0.6659545395388817
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/23.docx,23.docx,real,real,True,0.06171016432506449,0.6363132295255824,0.6980233938506469
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/24.docx,24.docx,real,real,True,0.07982873182380057,0.804491969759646,0.8843207015834466
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/25.docx,25.docx,real,real,True,0.031177982484659417,0.8619843704325066,0.8931623529171661
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/26.docx,26.docx,real,real,True,0.10110830330631826,0.6471125654643269,0.7482208687706452
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/27.docx,27.docx,real,real,True,0.051630321703967974,0.8946365553831158,0.9462668770870838
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/28.docx,28.docx,real,real,True,0.03134178437851154,0.9013523296205568,0.9326941139990683
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/29.docx,29.docx,real,real,True,0.08621940455230637,0.6546044740237155,0.7408238785760218
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/3.docx,3.docx,real,real,True,0.04323728541357896,0.7427016376233126,0.7859389230368916
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/30.docx,30.docx,real,real,True,0.11272080985720123,0.6713482721203916,0.7840690819775928
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/31.docx,31.docx,real,real,True,0.09413849478397229,0.7465153759430382,0.8406538707270105
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/32.docx,32.docx,real,real,True,0.09497417330404478,0.5739387518888887,0.6689129251929334
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/33.docx,33.docx,real,real,True,0.13237598305165532,0.7001345748980969,0.8325105579497523
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/34.docx,34.docx,real,real,True,0.06292114558550188,0.6762654434588788,0.7391865890443807
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/35.docx,35.docx,real,real,True,0.05540044893756568,0.7873245856281338,0.8427250345656995
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/36.docx,36.docx,real,real,True,0.06245659337918652,0.6862081520290235,0.74866474540821
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/37.docx,37.docx,real,real,True,0.0738763601247846,0.7221455556724856,0.7960219157972702
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/38.docx,38.docx,real,real,True,0.13065829037359034,0.6877345606714093,0.8183928510449996
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/39.docx,39.docx,real,real,True,0.0402612403048096,0.6781175361793319,0.7183787764841415
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/4.docx,4.docx,real,real,True,0.08211913494563239,0.5311694110732635,0.6132885460188959
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/40.docx,40.docx,real,real,True,0.03739065819570997,0.8186210075235395,0.8560116657192495
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/41.docx,41.docx,real,real,True,0.07163920642485022,0.6469588912887047,0.7185980977135549
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/42.docx,42.docx,real,real,True,0.06261688095741003,0.7778757898004426,0.8404926707578526
/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/43.docx,43.docx,real,real,True,0.11041407357942523,0.7478217342766811,0.8582358078561063
