label,file,path,n_tokens
real,1.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/1.docx,2363
real,10.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/10.docx,1955
real,11.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/11.docx,4084
real,12.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/12.docx,3724
real,13.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/13.docx,1420
real,14.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/14.docx,4045
real,15.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/15.docx,4716
real,16.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/16.docx,3461
real,17.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/17.docx,1929
real,18.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/18.docx,2931
real,19.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/19.docx,1255
real,2.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/2.docx,1668
real,21.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/21.docx,2006
real,22.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/22.docx,2596
real,23.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/23.docx,2461
real,24.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/24.docx,1921
real,25.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/25.docx,939
real,26.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/26.docx,2105
real,27.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/27.docx,599
real,28.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/28.docx,740
real,29.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/29.docx,1769
real,3.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/3.docx,1624
real,30.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/30.docx,2367
real,31.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/31.docx,4493
real,32.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/32.docx,3706
real,33.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/33.docx,2232
real,34.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/34.docx,4306
real,35.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/35.docx,1475
real,36.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/36.docx,2138
real,37.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/37.docx,2819
real,38.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/38.docx,2279
real,39.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/39.docx,2121
real,4.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/4.docx,10096
real,40.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/40.docx,2767
real,41.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/41.docx,3230
real,42.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/42.docx,4423
real,43.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/43.docx,2866
real,44.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/44.docx,2306
real,45.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/45.docx,1612
real,46.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/46.docx,2391
real,5.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/5.docx,3383
real,6.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/6.docx,696
real,7.docx,/Users/oksanagoncarova/Desktop/статьи написать/генерация статья/real docx_converted/7.docx,1009
